code,name,year,month,year_month,up_count
000550,江铃汽车,2024,9,2024-09,3
000550,江铃汽车,2025,9,2025-09,1
000555,神州信息,2023,10,2023-10,1
000555,神州信息,2024,10,2024-10,2
000555,神州信息,2025,10,2025-10,3
000557,西部创业,2023,4,2023-04,1
000557,西部创业,2024,4,2024-04,1
000557,西部创业,2025,4,2025-04,1
000558,天府文旅,2023,4,2023-04,1
000558,天府文旅,2024,4,2024-04,1
000558,天府文旅,2025,4,2025-04,4
000560,我爱我家,2023,2,2023-02,3
000560,我爱我家,2024,2,2024-02,2
000560,我爱我家,2025,2,2025-02,2
000560,我爱我家,2023,4,2023-04,2
000560,我爱我家,2024,4,2024-04,3
000560,我爱我家,2025,4,2025-04,4
000560,我爱我家,2023,7,2023-07,2
000560,我爱我家,2024,7,2024-07,6
000560,我爱我家,2025,7,2025-07,1
000560,我爱我家,2023,8,2023-08,2
000560,我爱我家,2024,8,2024-08,2
000560,我爱我家,2025,8,2025-08,1
000561,烽火电子,2023,1,2023-01,2
000561,烽火电子,2024,1,2024-01,1
000561,烽火电子,2025,1,2025-01,2
000563,陕国投Ａ,2023,1,2023-01,1
000563,陕国投Ａ,2024,1,2024-01,1
000563,陕国投Ａ,2025,1,2025-01,1
000564,供销大集,2023,1,2023-01,4
000564,供销大集,2024,1,2024-01,5
000564,供销大集,2025,1,2025-01,1
000564,供销大集,2023,2,2023-02,1
000564,供销大集,2024,2,2024-02,2
000564,供销大集,2025,2,2025-02,3
000564,供销大集,2023,5,2023-05,1
000564,供销大集,2024,5,2024-05,1
000564,供销大集,2025,5,2025-05,1
000566,海南海药,2023,4,2023-04,2
000566,海南海药,2024,4,2024-04,1
000566,海南海药,2025,4,2025-04,4
000568,泸州老窖,2023,2,2023-02,1
000568,泸州老窖,2024,2,2024-02,2
000568,泸州老窖,2025,2,2025-02,1
000571,新大洲A,2023,4,2023-04,2
000571,新大洲A,2024,4,2024-04,3
000571,新大洲A,2025,4,2025-04,2
000571,新大洲A,2023,10,2023-10,1
000571,新大洲A,2024,10,2024-10,3
000571,新大洲A,2025,10,2025-10,1
000572,海马汽车,2023,7,2023-07,3
000572,海马汽车,2024,7,2024-07,5
000572,海马汽车,2025,7,2025-07,1
000572,海马汽车,2023,11,2023-11,4
000572,海马汽车,2024,11,2024-11,3
000572,海马汽车,2025,11,2025-11,9
000573,粤宏远Ａ,2023,2,2023-02,1
000573,粤宏远Ａ,2024,2,2024-02,1
000573,粤宏远Ａ,2025,2,2025-02,3
000576,甘化科工,2023,11,2023-11,1
000576,甘化科工,2024,11,2024-11,2
000576,甘化科工,2025,11,2025-11,1
000584,工智退,2023,2,2023-02,3
000584,工智退,2024,2,2024-02,3
000584,工智退,2025,2,2025-02,5
000584,工智退,2023,3,2023-03,1
000584,工智退,2024,3,2024-03,2
000584,工智退,2025,3,2025-03,1
000584,工智退,2023,6,2023-06,3
000584,工智退,2024,6,2024-06,4
000584,工智退,2025,6,2025-06,2
000586,汇源通信,2023,1,2023-01,1
000586,汇源通信,2024,1,2024-01,1
000586,汇源通信,2025,1,2025-01,4
000586,汇源通信,2023,3,2023-03,2
000586,汇源通信,2024,3,2024-03,5
000586,汇源通信,2025,3,2025-03,2
000586,汇源通信,2023,9,2023-09,1
000586,汇源通信,2024,9,2024-09,2
000586,汇源通信,2025,9,2025-09,1
000586,汇源通信,2023,10,2023-10,1
000586,汇源通信,2024,10,2024-10,4
000586,汇源通信,2025,10,2025-10,1
000590,古汉医药,2023,8,2023-08,1
000590,古汉医药,2024,8,2024-08,1
000590,古汉医药,2025,8,2025-08,1
000592,平潭发展,2023,9,2023-09,1
000592,平潭发展,2024,9,2024-09,2
000592,平潭发展,2025,9,2025-09,1
000593,德龙汇能,2023,10,2023-10,1
000593,德龙汇能,2024,10,2024-10,1
000593,德龙汇能,2025,10,2025-10,4
000593,德龙汇能,2023,11,2023-11,1
000593,德龙汇能,2024,11,2024-11,1
000593,德龙汇能,2025,11,2025-11,4
